,attack_way_sub,ratio,max_sub
0,intentional_attack,0,304
1,intentional_attack,0.05,289
2,intentional_attack,0.1,274
3,intentional_attack,0.15,259
4,intentional_attack,0.2,244
5,intentional_attack,0.25,229
6,intentional_attack,0.3,214
7,intentional_attack,0.35,199
8,intentional_attack,0.4,176
9,intentional_attack,0.45,163
10,intentional_attack,0.5,124
11,intentional_attack,0.55,124
12,intentional_attack,0.6,124
13,intentional_attack,0.65,101
14,intentional_attack,0.7,89
15,intentional_attack,0.75,37
16,intentional_attack,0.8,37
17,intentional_attack,0.85,37
18,intentional_attack,0.9,8
19,intentional_attack,0.95,3
20,intentional_attack,1,2
21,random_attack,0,304
22,random_attack,0.05,289
23,random_attack,0.1,274
24,random_attack,0.15,259
25,random_attack,0.2,244
26,random_attack,0.25,232
27,random_attack,0.3,218
28,random_attack,0.35,201
29,random_attack,0.4,186
30,random_attack,0.45,172
31,random_attack,0.5,156
32,random_attack,0.55,142
33,random_attack,0.6,129
34,random_attack,0.65,113
35,random_attack,0.7,96
36,random_attack,0.75,83
37,random_attack,0.8,69
38,random_attack,0.85,53
39,random_attack,0.9,40
40,random_attack,0.95,23
41,random_attack,1,8
